Product ID,ERP Product Family,Product Description,Product Bulletin ID,Product Bulletin URL,End of Sale Date,End of Security/Vulnerability ,Last Date of Support
WS-C2960-24TC-L,C2960,WS-C2960-24TC-L,EOL9449,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps6406/eos-eol-notice-c51-730121.html,10/31/14,10/31/15,10/31/19
WS-C2960C-8TC-L,C2960C,"^^^Catalyst 2960C Switch 8 FE, 2 x Dual Uplink, Lan Base",EOL13189,https://www.cisco.com/c/en/us/products/switches/catalyst-2960-c-series-switches/eos-eol-notice-c51-743071.html,10/30/20,10/30/23,10/31/25
WS-C2960CX-8TC,C2960CX,^Cisco Catalyst 2960-CX 8 Port Data,EOL13731,,12/17/20,12/17/20,12/31/20
WS-C2960CX-8TC-L,C2960CX,Cisco Catalyst 2960-CX 8 Port Data Lan Base,N/A,N/A,N/A,N/A,N/A
WS-C2960G-24TC-L,C2960,"^Catalyst 2960 24 10/100/1000, 4 T/SFP LAN Base Image",EOL7654,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps6406/end_of_life_c51-674040.html,7/31/12,N/A,7/31/17
WS-C2960G-48TC-L,C2960,"^Catalyst 2960 48 10/100/1000,  4 T/SFP  LAN Base Image",EOL7654,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps6406/end_of_life_c51-674040.html,7/31/12,N/A,7/31/17
WS-C2960S-48TD-L,C2960S,"^^^Catalyst 2960S 48 GigE, 2 x 10G SFP+ LAN Base",EOL10043,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-series-switches/eos-eol-notice-c51-733348.html,11/6/15,11/5/18,11/30/20
WS-C2960S-48TS-L,C2960S,"^^^Catalyst 2960S 48 GigE, 4 x SFP LAN Base",EOL10043,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-series-switches/eos-eol-notice-c51-733348.html,11/6/15,11/5/18,11/30/20
WS-C2960X-24TD-L,C2960X,"Catalyst 2960-X 24 GigE, 2 x 10G SFP+, LAN Base",EOL13603,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-x-series-switches/eos-eol-notice-c51-744432.html,10/31/22,10/31/27,10/31/27
WS-C2960X-24TS-L,C2960X,"Catalyst 2960-X 24 GigE, 4 x 1G SFP, LAN Base",EOL13603,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-x-series-switches/eos-eol-notice-c51-744432.html,10/31/22,10/31/27,10/31/27
WS-C2960X-48TD-L,C2960X,"Catalyst 2960-X 48 GigE, 2 x 10G SFP+, LAN Base",EOL13603,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-x-series-switches/eos-eol-notice-c51-744432.html,10/31/22,10/31/27,10/31/27
WS-C2960XR-24PS-I,C2960XR,"Catalyst 2960-XR 24 GigE PoE 370W, 4 x 1G SFP, IP Lite",EOL13602,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-xr-series-switches/eos-eol-notice-c51-744422.html,10/31/22,10/31/27,10/31/27
WS-C2960XR-48FPD-I,C2960XR,"Catalyst 2960-XR 48 GigE PoE 740W, 2 x 10G SFP+, IP Lite",EOL13602,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-xr-series-switches/eos-eol-notice-c51-744422.html,10/31/22,10/31/27,10/31/27
WS-C2960XR-48FPS-I,C2960XR,"Catalyst 2960-XR 48 GigE PoE 740W, 4 x 1G SFP, IP Lite",EOL13602,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-xr-series-switches/eos-eol-notice-c51-744422.html,10/31/22,10/31/27,10/31/27
WS-C2960XR-48TS-L,C2960XR,"48 Ethernet 10/100/1000 ports, 4SFP LAN BASE",EOL13602,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-xr-series-switches/eos-eol-notice-c51-744422.html,10/31/22,10/31/27,10/31/27
WS-C3550-12G,C3550,^10 GBIC ports + 2-10/100/1000 ports: EMI,2771,http://www.cisco.com/en/US/products/hw/switches/ps646/prod_eol_notice0900aecd8029f777.html,5/2/06,N/A,5/31/11
WS-C3550-24-EMI,C3550,^24-10/100 + 2 GBIC ports: EMI,2771,http://www.cisco.com/en/US/products/hw/switches/ps646/prod_eol_notice0900aecd8029f777.html,5/2/06,N/A,5/31/11
WS-C3550-24-FX-SMI,C3550,^24-100FX MMF + 2 GBIC ports: SMI,2771,http://www.cisco.com/en/US/products/hw/switches/ps646/prod_eol_notice0900aecd8029f777.html,5/2/06,N/A,5/31/11
WS-C3560-48TS-E,C3560,^Catalyst 3560 48 10/100 + 4 SFP IPS Image,EOL6926,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/end_of_life_notice_c51-574778.html,7/5/10,7/4/13,7/31/15
WS-C3560-8PC-S,C3560,^^^Catalyst 3560 Compact 8 10/100 PoE + 1 T/SFP; IP Base Image,EOL9055,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps6406/eol__C51-726504.html,7/29/13,N/A,7/31/18
WS-C3560C-12PC-S,C3560C,"^^^Catalyst 3560C Switch 12 FE PoE, 2 x Dual Uplink, IP Base",EOL10691,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-c-series-switches/eos-eol-notice-c51-736180.html,10/30/16,10/30/19,10/31/21
WS-C3560CG-8PC-S,C3560C,"^^^Catalyst 3560C Switch 8 GE PoE, 2 x Dual Uplink, IP Base",EOL10691,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-c-series-switches/eos-eol-notice-c51-736180.html,10/30/16,10/30/19,10/31/21
WS-C3560CX-12PC-S,C3560CX,Cisco Catalyst 3560-CX 12 Port PoE IP Base,N/A,N/A,N/A,N/A,N/A
WS-C3560CX-12TC,C3560CX,^Cisco Catalyst 3560-CX 12 Port Data,EOL13731,,12/17/20,12/17/20,12/31/20
WS-C3560CX-8PC-S,C3560CX,Cisco Catalyst 3560-CX 8 Port PoE IP Base,N/A,N/A,N/A,N/A,N/A
WS-C3560G-24TS-S,C3560,^^^Catalyst 3560 24 10/100/1000T + 4 SFP + IPB Image,EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3560G-48TS-E,C3560,^^^Catalyst 3560 48 10/100/1000T + 4 SFP + IPS Image,EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750-24FS-S,C3750,^Catalyst 3750 24 100BaseFX + 2 SFP Standard Multilayer Image,EOL7875,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/end_of_life_c51-687707.html,9/18/12,N/A,9/30/17
WS-C3750-24TS-E,C3750,^Catalyst 3750 24 10/100 + 2 SFP + IPS Image,EOL6926,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/end_of_life_notice_c51-574778.html,7/5/10,7/4/13,7/31/15
WS-C3750-24TS-S,C3750,^Catalyst 3750 24 10/100 + 2 SFP + IPB Image,EOL6926,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/end_of_life_notice_c51-574778.html,7/5/10,7/4/13,7/31/15
WS-C3750-48PS-E,C3750,^Catalyst 3750 48 10/100 PoE + 4 SFP + IPS Image,EOL6926,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/end_of_life_notice_c51-574778.html,7/5/10,7/4/13,7/31/15
WS-C3750-48PS-S,C3750,^Catalyst 3750 48 10/100 PoE + 4 SFP + IPB Image,EOL6926,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/end_of_life_notice_c51-574778.html,7/5/10,7/4/13,7/31/15
WS-C3750-48TS-E,C3750,^Catalyst 3750 48 10/100 + 4 SFP + IPS Image,EOL6926,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/end_of_life_notice_c51-574778.html,7/5/10,7/4/13,7/31/15
WS-C3750-48TS-S,C3750,^Catalyst 3750 48 10/100 + 4 SFP + IPB Image,EOL6926,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/end_of_life_notice_c51-574778.html,7/5/10,7/4/13,7/31/15
WS-C3750E-24TD-E,C3750E,"^^^Catalyst 3750E 24 10/100/1000+2*10GE(X2),265W,IPS s/w",EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750E-24TD-S,C3750E,"^^^Catalyst 3750E 24 10/100/1000+2 10GE(X2),265W,IPB s/w",EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750E-48TD-E,C3750E,"^^^Catalyst 3750E 48 10/100/1000+2*10GE(X2),265W,IPS s/w",EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750E-48TD-S,C3750E,"^^^Catalyst 3750E 48 10/100/1000+2*10GE(X2),265W,IPB s/w",EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750G-12S-E,3KAGG,^Catalyst 3750 12 SFP + IPS Image,EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750G-12S-S,3KAGG,^Catalyst 3750 12 SFP + IPB Image,EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750G-16TD-E,C3750,^Catalyst 3750 16 10/100/1000BT+ 10GbE (req XENPAK) Enh Image,EOL5459,http://www.cisco.com/en/US/products/hw/switches/ps5023/prod_eol_notice0900aecd806228c3.html,10/15/07,N/A,10/31/12
WS-C3750G-16TD-S,C3750,^Catalyst 3750 16 10/100/1000BT+ 10GbE (req XENPAK) Std Image,EOL5459,http://www.cisco.com/en/US/products/hw/switches/ps5023/prod_eol_notice0900aecd806228c3.html,10/15/07,N/A,10/31/12
WS-C3750G-24PS-E,C3750,^^^Catalyst 3750 24 10/100/1000T PoE + 4 SFP + IPS Image,EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750G-24PS-S,C3750,^^^Catalyst 3750 24 10/100/1000T PoE + 4 SFP + IPB Image,EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750G-24T-E,C3750,^^^Catalyst 3750 24 10/100/1000T + IPS Image,EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750G-24T-S,C3750,^^^Catalyst 3750 24 10/100/1000T + IPB Image,EOL8044,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps5023/eol_c51-696372.html,1/30/13,1/30/16,1/31/18
WS-C3750G-24TS-E,C3750,^Catalyst 3750 24 10/100/1000 + 4 SFP + IPS Image; 1.5RU,EOL6501,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps708/eol_c51_489759.html,3/16/09,3/15/12,3/31/14
